,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
0,hmd,1,-0.8926448822021484,0.8600732088088989,0.7327918410301208,-178.46251799090643,-165.62005284312812,-168.00710225481635
1,hmd,1,-0.8926568031311035,0.8600790500640869,0.7327854037284851,-178.46310765963463,-165.62084588306945,-168.007156683319
2,hmd,1,-0.8926680088043213,0.8600850105285645,0.7327782511711121,-178.4628201556282,-165.6209204250321,-168.00753657233793
3,hmd,1,-0.892683744430542,0.8600914478302002,0.7327679991722107,-178.4628787536556,-165.62160895017618,-168.00750720383547
4,hmd,1,-0.8927881717681885,0.860134482383728,0.732731282711029,-178.4612897632681,-165.6227662384276,-168.00827096507297
5,hmd,1,-0.892803430557251,0.8601386547088623,0.7327226996421814,-178.4612622386737,-165.62236769211458,-168.00766111841742
6,hmd,1,-0.8927695751190186,0.860103964805603,0.732766330242157,-178.46094372495617,-165.62230717232538,-168.0077129754399
7,hmd,1,-0.892784595489502,0.8601094484329224,0.7327572703361511,-178.46005512338917,-165.62265338820822,-168.00818027351139
8,hmd,1,-0.8927960395812988,0.860112190246582,0.7327502369880676,-178.46095095657304,-165.62205278836112,-168.00812946618484
9,hmd,1,-0.8928103446960449,0.8601162433624268,0.7327421307563782,-178.460829471638,-165.62226241345468,-168.00785457785048
10,hmd,1,-0.8928284645080566,0.8601616621017456,0.7326385974884033,-178.4631819576976,-165.62145076572943,-168.00677044604055
11,hmd,1,-0.8928275108337402,0.8601696491241455,0.7326479554176331,-178.46173009284382,-165.6199491554118,-168.00613043402905
12,hmd,1,-0.8928391933441162,0.8601729869842529,0.7326377630233765,-178.4614854566423,-165.6197975051227,-168.00519309731015
13,hmd,1,-0.8928520679473877,0.8601769208908081,0.7326266765594482,-178.46095407564258,-165.62074033021727,-168.00471819239766
14,hmd,1,-0.89286208152771,0.8601809740066528,0.7326176166534424,-178.46114285741587,-165.62080912323978,-168.00521382172414
15,hmd,1,-0.8928737640380859,0.860183596611023,0.7326052784919739,-178.46112881662552,-165.62045533585638,-168.00457107433863
16,hmd,1,-0.892956018447876,0.8602211475372314,0.7325621843338013,-178.46102857246984,-165.6207991533897,-168.00626029994186
17,hmd,1,-0.8929398059844971,0.8601394891738892,0.7325679063796997,-178.45765925535162,-165.62039681243547,-168.00351131808128
18,hmd,1,-0.8929555416107178,0.8601392507553101,0.7325534820556641,-178.4567454924996,-165.62109598884507,-168.0015414302087
19,hmd,1,-0.8929705619812012,0.8601405620574951,0.7325401902198792,-178.45764769506084,-165.62049375514147,-168.00185415853196
20,hmd,1,-0.8929843902587891,0.8601398468017578,0.7325284481048584,-178.4578511455274,-165.6211359313874,-168.00160949436219
21,hmd,1,-0.8930816650390625,0.8601671457290649,0.7325080633163452,-178.45543417651206,-165.62172881261864,-168.00303180939935
22,hmd,1,-0.8930985927581787,0.8601663112640381,0.7324948310852051,-178.45590157131366,-165.62138584248768,-168.00354756808068
23,hmd,1,-0.893061637878418,0.8601094484329224,0.7325388193130493,-178.45486527448156,-165.62044195566185,-168.00273899127615
24,hmd,1,-0.8930802345275879,0.8601082563400269,0.7325254678726196,-178.4542387358876,-165.62070535642013,-168.00312681416378
25,hmd,1,-0.8930983543395996,0.8601055145263672,0.7325122952461243,-178.45418021187214,-165.62015764005807,-168.00254742836313
26,hmd,1,-0.8931167125701904,0.8601036071777344,0.7324976921081543,-178.4535042643714,-165.6202959061238,-168.0022602577017
27,hmd,1,-0.8931949138641357,0.8601746559143066,0.7323441505432129,-178.45388806591657,-165.62167885846821,-168.00050047833153
28,hmd,1,-0.893049955368042,0.8600881099700928,0.7325177788734436,-178.4551915871382,-165.62131450426577,-168.00084967258692
29,hmd,1,-0.8930644989013672,0.8600863218307495,0.7325029969215393,-178.45557706477075,-165.6210618374385,-168.00129089983992
30,hmd,1,-0.8930814266204834,0.8600835800170898,0.7324866056442261,-178.4561492126814,-165.62258816570633,-168.00118720057247
31,hmd,1,-0.8930935859680176,0.8600820302963257,0.7324740886688232,-178.4567490929392,-165.62184002990384,-168.00115723581638
32,hmd,1,-0.8931107521057129,0.8600808382034302,0.7324573397636414,-178.45616009341265,-165.62280029415152,-168.00173964061074
33,hmd,1,-0.8931765556335449,0.860123872756958,0.7323746085166931,-178.4550773118743,-165.62351517020002,-168.0010726779313
34,hmd,1,-0.8930718898773193,0.8600139617919922,0.7324857115745544,-178.45507740201708,-165.62241731911467,-168.00000968830122
35,hmd,1,-0.8930833339691162,0.8600120544433594,0.7324742674827576,-178.45491652217092,-165.6225183775487,-167.99979136096582
36,hmd,1,-0.8930981159210205,0.8600095510482788,0.7324584126472473,-178.45516565216585,-165.6221753862103,-167.9999297673961
37,hmd,1,-0.8931150436401367,0.8600070476531982,0.7324402928352356,-178.45408144914555,-165.62245198248695,-168.00024038896385
38,hmd,1,-0.8931324481964111,0.8600037097930908,0.732421875,-178.45381924063727,-165.6226913706696,-167.99982502855522
39,hmd,1,-0.8930418491363525,0.860014796257019,0.7322968244552612,-178.45750468314787,-165.62096601689902,-167.9969164454664
40,hmd,1,-0.8930535316467285,0.8600109815597534,0.7322717905044556,-178.45731359939396,-165.62079281419662,-167.9960213500037
41,hmd,1,-0.8928236961364746,0.8599084615707397,0.7325382828712463,-178.46052998806127,-165.6205646036494,-167.9993295391522
42,hmd,1,-0.8928341865539551,0.8599071502685547,0.7325177788734436,-178.46162980125925,-165.62120690542255,-167.99973185506147
43,hmd,1,-0.8928430080413818,0.8599056005477905,0.7324970364570618,-178.46174916914575,-165.6212964232308,-167.99953175986792
44,hmd,1,-0.8928508758544922,0.8599057197570801,0.7324770092964172,-178.4608526008513,-165.6208820106485,-167.99995112923293
45,hmd,1,-0.8928377628326416,0.8599107265472412,0.7324267625808716,-178.46226641429914,-165.6228500696579,-167.9985166535146
46,hmd,1,-0.8925530910491943,0.8598799705505371,0.7327765822410583,-178.47045213160854,-165.62151812839898,-168.00672315876668
47,hmd,1,-0.8925559520721436,0.859882116317749,0.7327638864517212,-178.470946503206,-165.62240810733596,-168.0074842141211
48,hmd,1,-0.8925578594207764,0.8598840236663818,0.732750415802002,-178.4700313219413,-165.62230853636498,-168.00740460007125
49,hmd,1,-0.892559289932251,0.8598846197128296,0.7327381372451782,-178.4710592357481,-165.62216450051213,-168.00733584977525
50,hmd,1,-0.8925611972808838,0.8598864078521729,0.7327229380607605,-178.47219918643017,-165.62196830234203,-168.007502887668
51,hmd,1,-0.8927812576293945,0.8599804639816284,0.7326415181159973,-178.4684219717624,-165.62477825440237,-168.010675056849
52,hmd,1,-0.892848014831543,0.8599587678909302,0.7325461506843567,-178.46463295779586,-165.62389941884103,-168.0060688265807
53,hmd,1,-0.8928546905517578,0.8599584102630615,0.7325315475463867,-178.46397426959032,-165.62348254669388,-168.00534449175458
54,hmd,1,-0.8928623199462891,0.8599591255187988,0.7325153946876526,-178.46280911713873,-165.62388586842968,-168.0053620313209
55,hmd,1,-0.8928685188293457,0.8599594831466675,0.7325014472007751,-178.46434618051154,-165.6239490579336,-168.0060667138453
56,hmd,1,-0.8928756713867188,0.8599597215652466,0.7324851751327515,-178.4649617442956,-165.62469655192535,-168.00636098165177
57,hmd,1,-0.8930473327636719,0.8600220680236816,0.7324339151382446,-178.4597834879137,-165.62717819085168,-168.0077556776987
58,hmd,1,-0.8930137157440186,0.8599886894226074,0.732471227645874,-178.4599061577459,-165.6266777583845,-168.0075977097555
59,hmd,1,-0.8930244445800781,0.8599878549575806,0.7324560880661011,-178.4600684483004,-165.62640848251542,-168.0079578115357
60,hmd,1,-0.8930361270904541,0.8599866628646851,0.7324416041374207,-178.46179866945195,-165.62702685129216,-168.00859992675052
61,hmd,1,-0.8930449485778809,0.859986424446106,0.7324288487434387,-178.46078068104447,-165.62719821229817,-168.00895859529498
62,hmd,1,-0.8930575847625732,0.8599853515625,0.7324134111404419,-178.4604672049156,-165.62765969800708,-168.00933238431048
63,hmd,1,-0.8929476737976074,0.8599874973297119,0.7323058247566223,-178.46377725139453,-165.62582076892278,-168.00605207635007
64,hmd,1,-0.8926601409912109,0.8599283695220947,0.7326566576957703,-178.46940813723364,-165.62443288713447,-168.01215676201096
65,hmd,1,-0.8926618099212646,0.8599307537078857,0.7326444387435913,-178.47060678572225,-165.62441483212308,-168.01320175945474
66,hmd,1,-0.8926622867584229,0.8599345684051514,0.7326325178146362,-178.47034945310887,-165.62325729633602,-168.0145324280966
67,hmd,1,-0.8926644325256348,0.859937310218811,0.7326210737228394,-178.47034363210312,-165.62399142618594,-168.0145043726128
68,hmd,1,-0.8926563262939453,0.8599514961242676,0.7325742840766907,-178.4710919027621,-165.62322509389753,-168.01395960423656
69,hmd,1,-0.8926572799682617,0.8599539995193481,0.7325624823570251,-178.47099667212848,-165.62518962544786,-168.0143634452881
70,hmd,1,-0.8923900127410889,0.8598955869674683,0.7328829169273376,-178.4762302981919,-165.62427646874144,-168.02024315731154
71,hmd,1,-0.8923842906951904,0.8599008321762085,0.7328789234161377,-178.47606571351812,-165.62367326519973,-168.02069097992725
72,hmd,1,-0.8923795223236084,0.8599046468734741,0.732875406742096,-178.47599635516698,-165.62283969233206,-168.0205189253173
73,hmd,1,-0.8923764228820801,0.859908938407898,0.7328702807426453,-178.47602683156668,-165.62414802622857,-168.0205359792679
74,hmd,1,-0.8924453258514404,0.8599412441253662,0.7328519821166992,-178.47537454870388,-165.62346020675025,-168.02114622973042
75,hmd,1,-0.8922696113586426,0.8598952293395996,0.7330647110939026,-178.47878253677186,-165.62367614425855,-168.02402697896898
76,hmd,1,-0.892263650894165,0.8599010705947876,0.7330669164657593,-178.47915314490808,-165.622806191716,-168.02484183843987
77,hmd,1,-0.8922603130340576,0.8599038124084473,0.7330693602561951,-178.4788860702214,-165.62375403699997,-168.02315702299182
